data,datatype,sentiment
Global Stocks and Commodities Rally on First Trading Day of 2010,headline,positive
Dollar Slumps Amid Worldwide Manufacturing Improvement,headline,neutral
Oil Prices Surge Above $81 a Barrel Due to U.S. Cold Weather,headline,positive
"S&P 500 Sees 1.6 Percent Increase, Hits 15-Month High",headline,positive
"Argentina's Merval Index Reaches Record High, Brazil's Bovespa Surpasses 70,000",headline,positive
Natural Gas and Crude Oil Prices Jump Amid U.S. Cold Snap,headline,positive
"Gold and Copper Prices Rise, with Copper Hitting 16-Month High",headline,positive
U.S. Manufacturing Index Reaches Highest Level in Over Three Years,headline,positive
Exxon Mobil Corp. and Chevron Corp. Lead Gains in U.S. Energy Shares,headline,positive
Intel Corp. Shares Rally After Upgrade by Robert W. Baird & Co.,headline,positive
"Dollar Weakens Against Major Currencies, Affecting Gold Prices",headline,negative
Europe's Dow Jones Stoxx 600 Index Gains 1.5 Percent,headline,positive
Nestle SA Shares Up After Novartis AG Acquires Stake in Alcon Inc.,headline,neutral
"MSCI Asia Pacific Index Climbs, Japan Airlines Corp. Soars 31 Percent",headline,positive
"U.S. Treasury Two-Year Notes Rise, Yields Fall",headline,positive
PIMCO Reduces Holdings of U.S. and U.K. Government Debt,headline,positive
"MSCI Emerging Markets Index Continues Rally, Predicted to Rise Further",headline,positive
Dollar Declines Against Yen Following U.S. Housing Report,headline,positive
U.S. Treasuries Gain as Pending Home Resales Drop,headline,positive
Oil Prices Approach $82 Amid Cold Weather,headline,neutral
Orange Juice Prices Surge Due to U.S. Freeze,headline,positive
"Dow Jones Dips Slightly, S&P 500 Sees Gains",headline,neutral
U.S. Home Resale Contracts Fall 16% in November,headline,positive
Analysts Question Sustainability of Post-Stimulus GDP Growth,headline,positive
"MSCI World Index Up, Emerging Markets Index Hits New High",headline,positive
Energy Stock Indexes Rise in Resource-Rich Countries,headline,positive
Cadbury Shares Fall After Berkshire Hathaway Votes Against Kraft Share Issue,headline,neutral
Yen Strengthens Against Major Currencies Amid Exporter Activity,headline,positive
Dollar Index Shows Minor Gains After Fluctuations,headline,positive
Crude Oil Nears 14-Month High as Cold Weather Boosts Demand,headline,neutral
Refined Sugar Prices Reach Highest Since 1989 on Crop Concerns,headline,neutral
Metals and Energy Commodities Rally Amid Icy Weather Conditions,headline,positive
"Crude Oil Climbs for 10th Consecutive Day, Longest Streak Since 1996",headline,positive
Treasuries Fall as Federal Reserve Considers Additional Economic Stimulus,headline,neutral
"Copper Reaches Highest Price Since August 2008, Aluminum Hits 15-Month High",headline,positive
"Natural Gas Surges 6.6 Percent, Crude Oil Reaches 14-Month High Above $83",headline,positive
"U.S. May Experience Worst Winter in 25 Years, Impacting Energy Prices",headline,neutral
"S&P 500 Closes at 15-Month High, Awaits U.S. Jobs Report and Earnings Season",headline,neutral
S&P 500 Valuation Reaches Most Expensive Level Since 2002,headline,neutral
U.S. Service Industries Expand Less Than Forecast in December,headline,neutral
"Dollar Index Slips, Canadian Dollar Strengthens Against U.S. Currency",headline,negative
Platinum Futures Rise 1.8 Percent After U.S. Auto Sales Increase,headline,positive
"Treasuries Drop for First Time in Three Days, Mortgage Bond Yields Fall",headline,positive
Federal Reserve Debates Increasing Asset Purchases in December Meeting,headline,neutral
German 10-Year Bond Yields Near Three-Month High After Bond Sale,headline,positive
"Financial Companies Issue $23.8 Billion in Bonds, Largest Since February 2009",headline,neutral
Yen Weakens as Asian Stock Gains Spur Demand for Higher-Yielding Assets,headline,positive
Marks & Spencer Group Plc Shares Fall 6.8 Percent After Sales Miss Estimates,headline,negative
U.S. Stocks and Dollar Rise Amid Easing Real-Estate Concerns,headline,positive
Emerging Market Equities and Commodities Fall as China Curbs Lending,headline,negative
"S&P 500 Hits 15-Month High, Climbing 0.4 Percent",headline,positive
"Dollar Strengthens, Affecting Commodity Prices",headline,neutral
Shanghai Composite Index Experiences 1.9 Percent Plunge,headline,negative
Global Central Banks Signal Potential End to Recession Measures,headline,neutral
Zions Bancorporation Leads Financial Shares Surge in S&P 500,headline,positive
S&P 500 Valuation Reaches Highest Level Since 2002,headline,positive
"U.S. TIPS Breakeven Rate Widens, Signaling Inflation Expectations",headline,neutral
Australian Dollar Gains on Retail Sales Data,headline,neutral
